Date,Time,Open,High,Low,Close,Volume,Tick Count
12/19/2024,15:44,38990,38990,38990,38990,0,0
12/19/2024,15:45,38990,38990,38990,38990,0,0
12/19/2024,15:46,39080,39080,39080,39080,1683,1
